t,N,Vx,Vy,Vz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz
1501054080.018278,0.09395677596330643,-929.6891479492188,1421.604370117188,617.7446899414062,6.631316329386294e-11,6.642162514447492e-11,6.522239692774434e-11,-5.657589847996025e-12,4.821681180949659e-14,-3.466554029506880e-13
1501054080.048278,0.08922763913869858,-2159.612304687500,732.2332763671875,1500.480346679688,6.128227786339480e-11,6.175528838303634e-11,6.477157699080749e-11,-1.407929111837958e-12,-1.904381166650815e-12,4.623318329739778e-13
1501054080.078278,0.09441446512937546,-2005.755737304688,523.3824462890625,-114.2460403442383,6.557996506950658e-11,6.912569822103976e-11,6.722702949879533e-11,-2.976482775529643e-12,1.622291439639517e-13,-9.122636457012390e-13
1501054080.108278,0.09348402172327042,219.5574798583984,1414.572387695312,950.2476806640625,6.118523743214865e-11,6.136584296267955e-11,6.094998117323058e-11,2.807384966857507e-12,2.191962872332993e-15,-9.603556556762871e-14
1501054080.138278,0.1047094389796257,-2311.768066406250,1033.989501953125,550.5529174804688,6.906245714199954e-11,7.194127932264038e-11,7.251062250634988e-11,1.316588548253006e-12,-2.952610812095857e-12,-6.156640952256764e-13
1501054080.168278,0.09588417410850525,-888.5264892578125,678.5193481445312,-101.3075180053711,6.779959232927624e-11,6.402008090322653e-11,6.594459006636910e-11,-1.247483236502256e-12,1.993894686944803e-13,7.497411979445756e-13
1501054080.198278,0.1007509082555771,-2500.145751953125,-24.28540039062500,942.6398315429688,6.740293045925938e-11,6.891959919430590e-11,6.635561544676705e-11,-1.158197886555468e-12,-1.364774070665431e-12,1.395679036751696e-12
1501054080.228278,0.1073441281914711,-1480.703613281250,70.87631225585938,538.0902099609375,6.983898875878580e-11,6.600842789028505e-11,6.684297559900187e-11,1.238538622789359e-13,8.341490475780033e-13,8.672912648471920e-13
1501054080.258278,0.09704852104187012,-1975.647827148438,1681.499389648438,227.2100524902344,6.412497616237189e-11,6.663899987380262e-11,6.634657406801026e-11,-1.764694381562685e-14,-5.380418333089665e-13,9.508598335788987e-13
1501054080.288278,0.09758136421442032,-2960.350585937500,1049.869873046875,201.3173217773438,6.889518816555196e-11,6.597829921295428e-11,6.743553632171384e-11,2.477036371156816e-12,-9.493479543069491e-14,6.104412765203793e-13
1501054080.318278,0.09601411968469620,-1610.506469726562,281.1511535644531,1035.449707031250,6.334521102102642e-11,6.575721217538799e-11,6.719528405918496e-11,-4.424713633682797e-12,-2.115077210596006e-12,1.119348537470533e-12
1501054080.348278,0.1148736029863358,-4045.124755859375,951.7917480468750,353.7053222656250,7.948102592747475e-11,7.541278712608346e-11,7.853895311882297e-11,-1.375372580582346e-12,-1.348988412294694e-12,-4.717561519380908e-13
1501054080.378278,0.1031752973794937,-3260.013183593750,2303.757812500000,1060.254394531250,7.239268212666516e-11,7.199162793680713e-11,7.100254412195639e-11,9.112204263708734e-14,-7.511219294112359e-13,-1.493594093890382e-12
1501054080.408278,0.09900113940238953,-3065.858154296875,2294.975097656250,865.8552856445312,6.519638301449859e-11,6.569969568381850e-11,6.700513754953619e-11,1.050558620131758e-12,-1.028890948134853e-12,3.071793904310671e-12
1501054080.438278,0.1012938916683197,-1508.705444335938,-143.4158477783203,1523.381225585938,7.206997498787615e-11,6.980844374782080e-11,7.251459849255681e-11,8.578104589498925e-13,9.320239892363080e-13,5.948232358055083e-13
1501054080.468278,0.1000415757298470,-1321.355712890625,233.0805358886719,614.9267578125000,7.674682417357914e-11,7.126017137482066e-11,7.698405801725983e-11,4.854051188774022e-13,-1.422130642414476e-12,-4.200735896284225e-13
1501054080.498278,0.09977262467145920,-1437.418823242188,-392.9230041503906,278.7261657714844,7.150609965256294e-11,6.471288782616824e-11,6.888025566587075e-11,4.512400435946473e-12,8.970898568265440e-13,-1.102344344278139e-12
1501054080.528278,0.1007672846317291,-2273.555664062500,2041.020019531250,1263.707519531250,6.970699018005178e-11,7.414158870178156e-11,7.506545385282948e-11,-1.517674874662589e-12,-9.115001505313747e-13,2.074603943497122e-12
1501054080.558278,0.09655664116144180,-2096.270507812500,1462.361572265625,-994.6993408203125,6.819038389505039e-11,7.257263540116909e-11,7.103391486129595e-11,-2.583221614047004e-12,8.155046733390736e-13,-7.815386250491219e-13
1501054080.588278,0.1021083667874336,-1731.030761718750,360.3745117187500,-249.3896636962891,7.230415571823912e-11,7.687229325314959e-11,7.790609823921102e-11,-4.290674586460153e-12,-1.361167363718441e-12,7.509488365343986e-13
1501054080.618278,0.1077375784516335,-337.2183837890625,-903.0498046875000,188.0166168212891,6.880510050599753e-11,7.402684021329264e-11,7.551053532450780e-11,1.214191778804025e-13,4.527671640386366e-14,-8.094954285879641e-13
1501054080.648278,0.1053981706500053,601.0175781250000,1726.678222656250,716.0342407226562,7.399802298690972e-11,7.389767270327141e-11,7.310015787131974e-11,3.573519518490498e-12,-1.887826917360003e-12,-1.633023252213539e-12
1501054080.678278,0.1045199781656265,-1097.612304687500,3372.023437500000,1083.292114257812,7.376294020033924e-11,7.259405576665046e-11,7.464039802895783e-11,-2.273063898564076e-12,-7.432093135362194e-13,-1.176224048715646e-12
1501054080.708278,0.09819079935550690,-1738.311035156250,1419.324707031250,321.2113647460938,7.253359024517181e-11,6.481915698630658e-11,6.862155288445138e-11,3.390590542703964e-12,2.809108848311759e-12,-7.647235167156097e-13
1501054080.738278,0.1021229922771454,-3166.877929687500,1251.489501953125,1032.828491210938,7.145628533322679e-11,7.474866559054050e-11,7.374875016230575e-11,2.964199849117555e-12,4.551956901688303e-12,8.110486024101582e-13
1501054080.768278,0.09895778447389603,-1700.620361328125,1355.845947265625,1096.992675781250,6.358526899452599e-11,7.042196686901647e-11,6.953503051132515e-11,-2.132808903446137e-12,1.223504153893828e-12,9.563918667437887e-13
1501054080.798278,0.09982246905565262,-3038.616210937500,1291.179565429688,516.3197021484375,6.790088630248547e-11,6.860969431476960e-11,6.916226619191335e-11,-3.818730542285570e-13,2.220332208022202e-12,7.916149289896590e-13
1501054080.828278,0.1007645949721336,-2741.976806640625,2677.679687500000,1292.780883789062,7.356762421473206e-11,6.648525480157375e-11,7.314449046447180e-11,-1.699758823275888e-12,-1.188452683703947e-13,1.651165857687042e-12
